SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,GAIN
IIFL,NF,1004.9,1006.6,1004,1005,1005,1003.8,618,621086.9,07-12-2022,20,INE530B08102,"9.951238929248954e-05
"
726GS2032,GS,101.01,101.02,101,101.02,101.02,101.25,5038,508878.1,14-11-2022,6,IN0020220060,"9.900009900000895e-05
"
SRTRANSFIN,YO,1019.99,1020,1019.99,1020,1020,1005,100,101999.5,15-11-2022,2,INE721A07OB9,"9.80401768643899e-06
"
L&TFINANCE,NQ,1020,1124.99,1020,1020.01,1020.01,1050,12,12974.96,14-11-2022,4,INE027E07AH9,"9.803921568618534e-06
"
TATACAPHSG,N4,1024.99,1025,1024.99,1025,1025,1020.63,2,2049.99,15-11-2022,2,INE033L07GO5,"9.756192743334964e-06
"
NTPC,N1,1025.2,1025.3,1025.2,1025.3,1025.3,1111,4,4101,06-12-2022,2,INE733E07JE0,"9.754194303541655e-05
"
IIFL,N6,1038.9,1039,1038.9,1039,1039,1030,29,30130.5,23-11-2022,5,INE866I08279,"9.625565501964485e-05
"
L&TFINANCE,NE,1040.1,1040.2,1040.1,1040.2,1040.2,1038.55,55,57205.9,28-11-2022,2,INE027E07956,"9.614460148075804e-05
"
SGBMAY29I,GB,4909,4920,4897.25,4909.47,4914,4895.27,3083,15123366.09,02-12-2022,260,IN0020210053,"9.57425137503065e-05
"
RADICO,EQ,1051,1064.45,1042.5,1051.1,1047,1047.95,137522,145289066.8,25-11-2022,6258,INE944F01028,"9.514747859173078e-05
"
TCFSL,NL,1055.99,1056,1055,1056,1056,1055.1,975,1029330.65,18-11-2022,11,INE306N07LM5,"9.46978664569826e-06
"
IRFC,NL,1060.3,1060.5,1060.3,1060.4,1060.5,1059.6,200,212080,02-12-2022,2,INE053F07876,"9.431293030287318e-05
"
IIFL,NK,1063.55,1063.75,1063.55,1063.65,1063.65,1045,89,94658.05,01-12-2022,6,INE530B07153,"9.402472850372472e-05
"
ANGELONE,EQ,1619,1622.55,1593.1,1619.15,1619,1609.7,283252,456475321.2,02-12-2022,12375,INE732I01013,"9.264978381722727e-05
"
L&TFINANCE,NC,1084.99,1085,1084.99,1085,1085,1085,70,75949.5,09-11-2022,2,INE027E07931,"9.216674808054365e-06
"
EBBETF0425,EQ,1088.5,1089.48,1087.15,1088.51,1089.48,1087.21,1214,1321123.58,16-11-2022,37,INF754K01LD3,"9.186954524566748e-06
"
SRTRANSFIN,YW,1089.99,1090,1089.99,1090,1090,1071,467,509029.71,06-12-2022,10,INE721A07ON4,"9.174396095368678e-06
"
SRTRANSFIN,Z9,1094.9,1095,1094.9,1095,1095,1036,4,4379.8,23-11-2022,2,INE721A07PE0,"9.133254178455479e-05
"
TCFSL,NF,1099.95,1100,1099.9,1099.96,1099.96,1100,173,190286.81,09-11-2022,12,INE306N08292,"9.091322332825041e-06
"
PFC,N5,1128.9,1129,1128.9,1129,1129,1128,350,395145,06-12-2022,4,INE134E07208,"8.858180529711138e-05
"
HDFC,W3,565.1,565.15,550,565.15,565.15,561,27600,15410430,18-11-2022,46,INE001A13049,"8.847991505920106e-05
"
NHAI,N4,1139.9,1140,1139.9,1140,1140,1140,204,232556.1,06-12-2022,5,INE906B07DD3,"8.772699359584967e-05
"
BATAINDIA,EQ,1711.3,1726.75,1708.05,1711.45,1714,1710.3,219628,377034346,28-11-2022,12241,INE176A01028,"8.765266171921402e-05
"
BBETF0432,EQ,1032,1033,1028.03,1032.09,1032.8,1032.39,7147,7367645.41,05-12-2022,129,INF754K01OB1,"8.720930232550207e-05
"
