SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,GAIN
INDIGRID,NL,1013,1013.05,1013,1013.05,1013.05,1019.98,14,14182.2,21-11-2022,2,INE219X07280,"4.9358341559678704e-05
"
SRTRANSFIN,YR,1020.4,1020.5,1020.4,1020.45,1020.5,1020.5,10,10204.5,16-11-2022,2,INE721A07OE3,"4.900039200320287e-05
"
LT,EQ,2064.35,2072,2052,2064.45,2065.05,2062.75,1105372,2280556183,28-11-2022,82072,INE018A01030,"4.8441398018702767e-05
"
SETFNIFBK,EQ,418.99,420.5,417.29,419.01,418.25,417.24,289955,121412313.9,09-11-2022,1069,INF200KA1580,"4.7733836129697155e-05
"
SGBJAN26,GB,5250,5250.25,5250,5250.25,5250.25,5220,250,1312502.5,29-11-2022,11,IN0020170166,"4.761904761904762e-05
"
SGBJUL25,GB,5300,5300.25,5300,5300.25,5300.25,5250,82,434611.6,02-12-2022,16,IN0020170034,"4.7169811320754715e-05
"
TATACAPHSG,N8,1060.11,1097.9,1060.11,1060.16,1060.16,1060,14,15143.95,14-11-2022,5,INE033L07GS6,"4.716491684842319e-05
"
M&MFIN,N1,1062.95,1063,1062.95,1063,1063,1050,31,32952.5,16-11-2022,4,INE774D08LU6,"4.703890117122586e-05
"
SGBOCT27,GB,4932.11,4932.34,4932.11,4932.34,4932.34,4997.9,6,29593.81,09-12-2022,2,IN0020190370,"4.663318539133818e-05
"
NHAI,N2,1130,1134.94,1130,1130.05,1130.05,1131.38,456,515983.6,28-11-2022,29,INE906B07CB9,"4.4247787610579226e-05
"
IRFC,N9,1136.95,1137,1136.95,1137,1137,1125,60,68217.05,28-11-2022,2,INE053F07678,"4.3977307709182044e-05
"
CANTABIL,EQ,1144.8,1168.3,1125,1144.85,1158,1123.25,8483,9663060.75,05-12-2022,1122,INE068L01016,"4.3675751222881316e-05
"
TATVA,EQ,2320,2345.05,2302,2320.1,2329,2330.05,15180,35191437.35,09-11-2022,2483,INE0GK401011,"4.3103448275822865e-05
"
NTPC,N6,1404.1,1425,1404.1,1404.16,1404.2,1421.63,34,47799.5,16-11-2022,6,INE733E07JJ9,"4.273199914548309e-05
"
EBANK,EQ,4753.36,4753.38,4753.36,4753.38,4753.38,4700,7,33273.55,21-11-2022,6,INF754K01EL1,"4.2075500278616725e-06
"
IVZINGOLD,EQ,4771.1,4819,4771,4771.3,4771.3,4796.95,184,880038.8,08-12-2022,21,INF205K01361,"4.1919054306096725e-05
"
SRF,EQ,2398.5,2405,2360,2398.6,2399,2398.55,486483,1157769544,02-12-2022,36887,INE647A01010,"4.169272461951597e-05
"
ECLFINANCE,NG,987.57,997.5,987.57,987.61,987.61,990.05,150,148292.6,23-11-2022,7,INE804I075Y4,"4.050345798268844e-05
"
SGBN28VIII,GB,4945.01,4960,4941.1,4945.21,4945.21,4948.78,50,247681.83,07-12-2022,18,IN0020200286,"4.044481204281045e-05
"
PFC,N6,1025,1025.05,1025,1025.04,1025.01,1021.84,199,203979.39,09-11-2022,4,INE134E07422,"3.902439024386695e-05
"
SGBJUL25,GB,5251,5251.02,5251,5251.02,5251.02,5355,16,84016.3,06-12-2022,3,IN0020170034,"3.8087983242118753e-06
"
TATACAPHSG,N2,1071.01,1073,1071.01,1071.05,1071.01,1071,45,48197.44,05-12-2022,3,INE033L07GM9,"3.7347923922245006e-05
"
DHANILOANS,N8,1390,1399.9,1390,1390.05,1390.05,1390,104,145056.25,11-11-2022,6,INE614X07092,"3.597122302155002e-05
"
3MINDIA,EQ,22900,23187.95,22850,22900.8,22851,22929.1,7329,167963669.1,25-11-2022,1407,INE470A01017,"3.493449781656212e-05
"
BIRET,RR,288.95,289.95,287.35,288.96,289,288.8,46919,13529861.88,05-12-2022,1482,INE0FDU25010,"3.4608063678805696e-05
"
SGBJAN29IX,GB,4925.2,4939.95,4921.11,4925.37,4921.11,4921.11,178,877318.83,16-11-2022,37,IN0020200377,"3.4516364817687154e-05
"
NHAI,,1188.01,1188.2,1188,1188.05,1188,1190,167,198411.96,07-12-2022,7,INE906B07EJ8,"3.3669750254596864e-05
"
NHIT,N2,308.56,308.99,308.56,308.57,308.57,308.52,7004,2161506.19,06-12-2022,15,INE0H7R07025,"3.240860772618261e-05
"
HDFCBANK,EQ,1618.1,1631.55,1613.9,1618.15,1617,1632.9,6050465,9824511119,17-11-2022,133033,INE040A01034,"3.090043878634318e-05
"
PIIND,EQ,3335,3370,3320.05,3335.1,3338,3326.45,235589,788802776.8,22-11-2022,21136,INE603J01030,"2.9985007496224604e-05
"
KOTAKBKETF,EQ,423.49,426.01,422.8,423.5,423,422.29,164850,69831018.15,09-11-2022,585,INF174K01F59,"2.3613308460626944e-05
"
SGBDC27VII,GB,4986.9,4987,4986.9,4987,4987,4987,2,9973.9,14-11-2022,2,IN0020190461,"2.0052537648712386e-05
"
SGBMAY26,GB,5050,5050.01,5050,5050.01,5050.01,5050.01,2,10100.01,21-11-2022,2,IN0020180033,"1.9801980198452036e-06
"
SGBJUL25,GB,5200,5200.01,5200,5200.01,5200.01,5240,10,52000.05,21-11-2022,2,IN0020170034,"1.9230769231189e-06
"
SGBMAY25,GB,5200,5207.75,5151.01,5200.08,5207.75,5131.01,294,1521674,18-11-2022,21,IN0020170018,"1.538461538460139e-05
"
DHANILOANS,NO,994.99,995,994.99,995,995,995,122,121389.58,09-11-2022,4,INE614X07274,"1.0050352264837743e-05
"
NAVIFIN,N3,999,999.01,999,999.01,999.01,1002,60,59940.5,25-11-2022,3,INE342T07205,"1.0010010010000906e-05
"
LIQUIDETF,EQ,999.98,1000.01,999.98,999.99,1000,999.99,71197,71196842.65,09-11-2022,478,INF740KA1EU7,"1.0000200003990985e-05
"
ICICILIQ,EQ,999.98,1000.01,999.55,999.99,1000,999.99,217158,217157851.1,28-11-2022,412,INF109KC1KT9,"1.0000200003990985e-05
"
EHFLNCD,N5,999.99,1000,999.99,1000,1000,995,50,49999.88,14-11-2022,2,INE530L07210,"1.0000100000990914e-05
"
LIQUIDBEES,EQ,999.99,1000.01,999.99,1000,1000,1000,1604404,1604401367,24-11-2022,5369,INF732E01037,"1.0000100000990914e-05
"
LIQUIDETF,EQ,999.99,1000.01,999.99,1000,1000,999.99,17610,17610013.47,24-11-2022,86,INF740KA1EU7,"1.0000100000990914e-05
"
LIQUIDBEES,EQ,999.99,1002,999.99,1000,999.99,1000,1233940,1233943246,29-11-2022,6937,INF732E01037,"1.0000100000990914e-05
"
COMP-RE,BE,2.05,2.85,2,2.8,2.8,2.05,880677,2426894.95,29-11-2022,1230,INE070C20011,"0.3658536585365854
"
COMP-RE,BE,1.3,1.6,0.9,1.6,1.45,1.15,1581401,2409054.15,25-11-2022,1370,INE070C20011,"0.23076923076923078
"
IBULHSGFIN,YU,815.2,1000,815.2,1000,1000,1000,600,544560,28-11-2022,4,INE148I07LX8,"0.22669283611383703
"
PREMIERPOL,EQ,90.65,110.5,90.65,110.4,110.5,92.1,580550,62537210.55,01-12-2022,3655,INE309M01012,"0.21787093215664644
"
BLBLIMITED,EQ,19.4,23.55,19.4,23.55,23.55,19.65,317313,7236539.4,07-12-2022,925,INE791A01024,"0.213917525773196
"
DANGEE,EQ,22.3,27.05,22.3,27.05,27.05,22.55,3441479,90295391.3,09-11-2022,4447,INE688Y01022,"0.21300448430493274
"
UNIVASTU,EQ,78,94.55,77,94.55,94.55,78.8,1747093,163964332,06-12-2022,2996,INE562X01013,"0.21217948717948715
"
SADBHAV,EQ,10.9,13.2,10.9,13.2,13.2,11,3606313,45106971.55,22-11-2022,5423,INE226H01026,"0.2110091743119265
"
FIVESTAR,EQ,517.15,624.6,515.2,624.6,624.6,520.5,2132436,1261044910,06-12-2022,60558,INE128S01021,"0.20777337329594905
"
SKIPPER,EQ,90.1,108.65,90.1,108.65,108.65,90.55,3088619,326949979.7,02-12-2022,12148,INE439E01022,"0.2058823529411766
"
STCINDIA,EQ,87,105.3,87,104.85,105.3,87.75,1410058,139224346.2,28-11-2022,12736,INE655A01013,"0.2051724137931034
"
DYNPROPP,E1,131.95,159,131.95,158.6,159,145,1633,253752.65,15-11-2022,28,IN9256H01013,"0.20197044334975375
"
EXCEL,EQ,0.25,0.3,0.2,0.3,0.3,0.25,79588347,22392496.35,25-11-2022,3753,INE688J01023,"0.19999999999999996
"
HECPROJECT,EQ,31.35,37.6,31.35,37.6,37.6,31.35,36412,1361673.7,07-12-2022,154,INE558R01013,"0.19936204146730463
"
IRIS,EQ,71.1,87.1,71.1,85.25,86.6,72.6,1377575,118315308.4,23-11-2022,4785,INE864K01010,"0.19901547116737
"
NEULANDLAB,EQ,1415,1694.25,1362.4,1694.25,1694.25,1411.9,336316,536828761.6,10-11-2022,22834,INE794A01010,"0.19734982332155476
"
KABRAEXTRU,EQ,415.05,497.5,409.05,496.6,497.5,414.6,1519347,729586186.5,21-11-2022,38711,INE900B01029,"0.1964823515239128
"
COUNCODOS,EQ,4.1,4.9,4,4.9,4.9,4.1,1884003,9035905.9,02-12-2022,1611,INE695B01025,"0.1951219512195124
"
BAJAJHIND,EQ,11.3,13.5,11.25,13.5,13.5,11.25,51802190,658905819.5,02-12-2022,23827,INE306A01021,"0.19469026548672558
"
BRIGHT,SM,4.9,5.85,4.9,5.85,5.85,4.9,939000,5250000,17-11-2022,188,INE684Z01010,"0.19387755102040802
"
DAMODARIND,EQ,50,59.6,49,59.6,59.6,49.7,1303650,75805715.45,28-11-2022,4760,INE497D01022,"0.19200000000000003
"
ALPA,EQ,49.7,59.15,49,59.15,59.15,49.3,483105,27617821.3,21-11-2022,3684,INE385I01010,"0.19014084507042245
"
COUNCODOS,EQ,3.95,4.7,3.95,4.7,4.7,3.95,613241,2803295.55,09-11-2022,439,INE695B01025,"0.18987341772151897
"
HLVLTD,EQ,11.1,13.2,10.9,13.2,13.2,11,5104295,64341771.55,30-11-2022,4403,INE102A01024,"0.18918918918918917
"
LPDC,EQ,6.1,7.25,6.1,7.25,7.25,6.05,400611,2830697.7,07-12-2022,366,INE197J01017,"0.1885245901639345
"
YAARI,EQ,22.35,26.55,22.35,26.55,26.55,22.15,5411547,137650383.3,05-12-2022,9708,INE126M01010,"0.18791946308724827
"
TIMKEN,EQ,2955,3506,2955,3506,3506,2921.7,2134356,7071989797,17-11-2022,139227,INE325A01013,"0.18646362098138747
"
BURNPUR,EQ,5.1,6.05,5.05,6.05,6.05,5.05,2721620,15959847.2,07-12-2022,1980,INE817H01014,"0.18627450980392163
"
RGL,EQ,85.55,101.45,82,101.45,101.45,84.55,1003784,96315208.2,15-11-2022,13366,INE722H01024,"0.18585622443015787
"
LFIC,EQ,102,120.95,101.65,120.95,120.95,100.8,35111,4107976.85,29-11-2022,617,INE850E01012,"0.18578431372549023
"
BIOFILCHEM,EQ,49.95,59.4,48.95,59.2,59.4,49.5,1300898,76080717.05,18-11-2022,8894,INE829A01014,"0.18518518518518517
"
VAISHALI,EQ,124,146.9,122.95,146.85,146.9,122.45,2299118,321305959.4,09-12-2022,26402,INE972X01014,"0.18427419354838706
"
UCOBANK,EQ,15.75,18.9,15.7,18.65,18.9,15.75,137071823,2455978507,21-11-2022,106539,INE691A01018,"0.18412698412698403
"
NITCO,EQ,23.6,27.9,23.55,27.9,27.9,23.25,928324,24434853.35,07-12-2022,3580,INE858F01012,"0.18220338983050835
"
INDBANK,EQ,25.3,30.1,25.15,29.9,30.1,25.1,3936376,112904844.3,24-11-2022,11831,INE841B01017,"0.18181818181818174
"
FINOPB,EQ,196,231.6,194.1,231.6,231.6,193,4624519,1032121491,23-11-2022,41194,INE02NC01014,"0.18163265306122445
"
BSL,EQ,174,209.8,174,205.35,204.1,175.45,699652,137578706.4,24-11-2022,17645,INE594B01012,"0.18017241379310342
"
WELINV,EQ,277.15,326.15,266.1,326.15,326.15,271.8,14496,4604128.9,22-11-2022,492,INE389K01018,"0.17679956702146854
"
JSLL,SM,215.8,253.95,215.8,253.95,253.95,211.65,311000,74426600,18-11-2022,283,INE0J5801011,"0.17678405931417968
"
KOPRAN,EQ,135.85,162.8,133.6,159.85,159.5,135.85,2114994,326077058.1,22-11-2022,27425,INE082A01010,"0.17666543982333457
"
BRNL,EQ,34.25,40.3,33.65,40.3,40.3,33.6,2672766,104751265.6,24-11-2022,7494,INE727S01012,"0.17664233576642327
"
JSLL,SM,180,212.45,173.65,211.65,212.45,177.05,274000,54555950,17-11-2022,246,INE0J5801011,"0.17583333333333337
"
VMARCIND,SM,49.35,58.85,49,58,58.85,49.05,450000,24457200,22-11-2022,142,INE0GXK01018,"0.17527862208713268
"
PSB,EQ,25.4,30,25.05,29.85,30,25,46263172,1300218571,06-12-2022,53183,INE608A01012,"0.17519685039370092
"
RAYMOND,EQ,1370,1630,1370,1608.9,1591,1369.65,9368609,14566337729,02-12-2022,274503,INE301A01014,"0.17437956204379568
"
AIROLAM,EQ,80,96.05,80,93.95,92.1,80.05,480752,44731889.1,22-11-2022,5762,INE801L01010,"0.17437500000000003
"
KRIDHANINF,EQ,3.45,4.05,3.35,4.05,4.05,3.4,719007,2810699.1,30-11-2022,450,INE524L01026,"0.17391304347826075
"
PEARLPOLY,EQ,20.75,24.35,19.65,24.35,24.35,20.3,1865885,44324795.55,02-12-2022,2688,INE844A01013,"0.17349397590361454
"
DTIL,EQ,226.05,266,226.05,264.9,266,221.7,529898,137943274.3,06-12-2022,14444,INE341R01014,"0.17186463171864616
"
KANPRPLA,EQ,95,111.3,95,111.3,111.3,92.75,179820,19365702.15,07-12-2022,1950,INE694E01014,"0.17157894736842103
"
PEARLPOLY,EQ,17.9,21.15,17,20.95,21.1,17.65,1632018,33750626.85,25-11-2022,3371,INE844A01013,"0.170391061452514
"
JNPT,N1,1050,1228.99,1050,1228,1228,1050,22,25237.98,06-12-2022,4,INE281G07053,"0.16952380952380952
"
RAJTV,EQ,52,60.8,49.2,60.8,60.8,50.7,292121,17103834.4,07-12-2022,1450,INE952H01027,"0.16923076923076918
"
ICICIFIN,EQ,17.5,20.46,17.5,20.46,20.46,17.05,32093,651268.14,30-11-2022,203,INF109KC17L8,"0.16914285714285718
"
SEPC,EQ,8.3,9.8,8.1,9.7,9.7,8.2,5412496,51002339.9,05-12-2022,3815,INE964H01014,"0.16867469879518054
"
MSTCLTD,EQ,290,338.8,290,338.8,338.8,282.35,5196961,1660705136,28-11-2022,71173,INE255X01014,"0.16827586206896555
"
SKIPPER,EQ,72.8,85.05,72.5,85.05,85.05,70.9,1979872,160741294.6,21-11-2022,13392,INE439E01022,"0.16826923076923078
"
AKSHARCHEM,EQ,291,353.1,291,339.85,339,294.25,215542,73044052,15-11-2022,10296,INE542B01011,"0.1678694158075602
"
PAR,EQ,152.9,178.55,149,178.55,178.55,148.8,230993,38982562.5,10-11-2022,5015,INE04LG01015,"0.16775670372792678
"
SURANASOL,EQ,21,24.5,21,24.5,24.5,20.45,285944,6836645.25,23-11-2022,998,INE272L01022,"0.16666666666666666
"
KAUSHALYA,EQ,4.8,5.6,4.7,5.6,5.6,4.7,314270,1692933.65,05-12-2022,446,INE234I01010,"0.16666666666666663
"
DHANILOANS,NW,835.73,1009.9,835.73,975,975,975,3,2820.63,23-11-2022,3,INE614X07373,"0.16664472975721822
"
BCLIND,EQ,327.5,393,327,381.75,377,327.5,1211524,453344183.9,29-11-2022,27595,INE412G01016,"0.16564885496183207
"
SATIN,EQ,147.4,173.4,146.2,171.5,169.25,145.9,1993709,326706971.6,05-12-2022,26809,INE836B01017,"0.1635006784260515
"
ICICINIFTY,EQ,172.7,201.22,172.7,200.78,200.88,198.48,160079,32011194.36,24-11-2022,3528,INF109K012R6,"0.16259409380428497
"
RITEZONE,SM,80.2,97.8,80,93.2,94.35,81.5,433600,40578640,29-11-2022,200,INE0MRA01019,"0.16209476309226933
"
HLVLTD,EQ,10.5,12.35,10.25,12.2,12.25,10.3,5612083,66647492.3,09-11-2022,4853,INE102A01024,"0.16190476190476183
"
TIJARIA,EQ,4.95,5.75,4.8,5.75,5.75,4.8,267103,1506880.1,06-12-2022,220,INE440L01017,"0.16161616161616157
"
WEIZMANIND,EQ,105.35,125.5,104.6,122.35,121.45,104.6,502105,60255799.2,01-12-2022,7072,INE080A01014,"0.16136687233032748
"
RAMCOSYS,EQ,240,283.45,240,278.65,276.5,239.75,1191357,324383485.5,28-11-2022,22611,INE246B01019,"0.16104166666666658
"
NEXTMEDIA,EQ,5.6,6.5,5.45,6.5,6.5,5.45,143238,887732.7,07-12-2022,106,INE747B01016,"0.16071428571428578
"
PFOCUS,EQ,69.9,82.25,67,81.1,82.25,68.55,976527,75610009.35,28-11-2022,6397,INE367G01038,"0.16022889842632315
"
NAGREEKEXP,EQ,34.5,40.7,34.05,40,39.75,33.95,515381,20353670.9,24-11-2022,3420,INE123B01028,"0.15942028985507245
"
IFBIND,EQ,935.4,1111,935,1084.5,1045,934.5,1322006,1385104214,18-11-2022,58046,INE559A01017,"0.15939704939063504
"
INDSWFTLAB,EQ,56,64.9,56,64.9,64.9,54.1,565972,35720132.35,09-11-2022,3203,INE915B01019,"0.15892857142857153
"
