SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,GAIN
IIFL,NF,1004.9,1006.6,1004,1005,1005,1003.8,618,621086.9,07-12-2022,20,INE530B08102,"9.951238929248954e-05
"
726GS2032,GS,101.01,101.02,101,101.02,101.02,101.25,5038,508878.1,14-11-2022,6,IN0020220060,"9.900009900000895e-05
"
SRTRANSFIN,YO,1019.99,1020,1019.99,1020,1020,1005,100,101999.5,15-11-2022,2,INE721A07OB9,"9.80401768643899e-06
"
L&TFINANCE,NQ,1020,1124.99,1020,1020.01,1020.01,1050,12,12974.96,14-11-2022,4,INE027E07AH9,"9.803921568618534e-06
"
TATACAPHSG,N4,1024.99,1025,1024.99,1025,1025,1020.63,2,2049.99,15-11-2022,2,INE033L07GO5,"9.756192743334964e-06
"
NTPC,N1,1025.2,1025.3,1025.2,1025.3,1025.3,1111,4,4101,06-12-2022,2,INE733E07JE0,"9.754194303541655e-05
"
IIFL,N6,1038.9,1039,1038.9,1039,1039,1030,29,30130.5,23-11-2022,5,INE866I08279,"9.625565501964485e-05
"
L&TFINANCE,NE,1040.1,1040.2,1040.1,1040.2,1040.2,1038.55,55,57205.9,28-11-2022,2,INE027E07956,"9.614460148075804e-05
"
SGBMAY29I,GB,4909,4920,4897.25,4909.47,4914,4895.27,3083,15123366.09,02-12-2022,260,IN0020210053,"9.57425137503065e-05
"
RADICO,EQ,1051,1064.45,1042.5,1051.1,1047,1047.95,137522,145289066.8,25-11-2022,6258,INE944F01028,"9.514747859173078e-05
"
TCFSL,NL,1055.99,1056,1055,1056,1056,1055.1,975,1029330.65,18-11-2022,11,INE306N07LM5,"9.46978664569826e-06
"
IRFC,NL,1060.3,1060.5,1060.3,1060.4,1060.5,1059.6,200,212080,02-12-2022,2,INE053F07876,"9.431293030287318e-05
"
IIFL,NK,1063.55,1063.75,1063.55,1063.65,1063.65,1045,89,94658.05,01-12-2022,6,INE530B07153,"9.402472850372472e-05
"
ANGELONE,EQ,1619,1622.55,1593.1,1619.15,1619,1609.7,283252,456475321.2,02-12-2022,12375,INE732I01013,"9.264978381722727e-05
"
L&TFINANCE,NC,1084.99,1085,1084.99,1085,1085,1085,70,75949.5,09-11-2022,2,INE027E07931,"9.216674808054365e-06
"
EBBETF0425,EQ,1088.5,1089.48,1087.15,1088.51,1089.48,1087.21,1214,1321123.58,16-11-2022,37,INF754K01LD3,"9.186954524566748e-06
"
SRTRANSFIN,YW,1089.99,1090,1089.99,1090,1090,1071,467,509029.71,06-12-2022,10,INE721A07ON4,"9.174396095368678e-06
"
SRTRANSFIN,Z9,1094.9,1095,1094.9,1095,1095,1036,4,4379.8,23-11-2022,2,INE721A07PE0,"9.133254178455479e-05
"
TCFSL,NF,1099.95,1100,1099.9,1099.96,1099.96,1100,173,190286.81,09-11-2022,12,INE306N08292,"9.091322332825041e-06
"
PFC,N5,1128.9,1129,1128.9,1129,1129,1128,350,395145,06-12-2022,4,INE134E07208,"8.858180529711138e-05
"
HDFC,W3,565.1,565.15,550,565.15,565.15,561,27600,15410430,18-11-2022,46,INE001A13049,"8.847991505920106e-05
"
NHAI,N4,1139.9,1140,1139.9,1140,1140,1140,204,232556.1,06-12-2022,5,INE906B07DD3,"8.772699359584967e-05
"
BATAINDIA,EQ,1711.3,1726.75,1708.05,1711.45,1714,1710.3,219628,377034346,28-11-2022,12241,INE176A01028,"8.765266171921402e-05
"
BBETF0432,EQ,1032,1033,1028.03,1032.09,1032.8,1032.39,7147,7367645.41,05-12-2022,129,INF754K01OB1,"8.720930232550207e-05
"
DALBHARAT,EQ,1742,1759.95,1725,1742.15,1742,1739.3,165367,287664891.8,25-11-2022,10280,INE00R701025,"8.610792192886967e-05
"
PGHH,EQ,14000,14037.3,13860,14001.2,14025,14004.15,5252,73336072.3,17-11-2022,1309,INE179A01014,"8.571428571433769e-05
"
CENTUM,EQ,588,604,575.55,588.05,575.55,588.3,14038,8325585.3,15-11-2022,1147,INE320B01020,"8.503401360536484e-05
"
IRFC,NI,1058.9,1058.99,1058.9,1058.99,1058.99,1058.99,66,69888.84,16-11-2022,3,INE053F07827,"8.499386155436598e-05
"
JUSTDIAL,EQ,597.45,601.7,594,597.5,595,597.6,89810,53689165.75,02-12-2022,2791,INE599M01018,"8.368901163269649e-05
"
APLLTD,EQ,600,604.85,598,600.05,600,597.85,82502,49535885.25,28-11-2022,4948,INE901L01018,"8.333333333325754e-05
"
SBIN,EQ,607.5,609.6,604.25,607.55,607.6,608.1,7533838,4575252956,02-12-2022,142901,INE062A01020,"8.230452674889634e-05
"
HUDCO,N9,1233.99,1234,1233.99,1234,1234,1234,410,505938.9,17-11-2022,15,INE031A07AT4,"8.103793385676469e-06
"
IRFC,N8,1241.9,1242,1241.9,1242,1242,1241.9,2,2483.9,09-11-2022,2,INE053F07660,"8.052178114172561e-05
"
IRFC,NK,1243.9,1244,1243.9,1244,1244,1204.99,250,310995,08-12-2022,2,INE053F07843,"8.039231449466119e-05
"
MAHSCOOTER,EQ,4990,5049,4891,4990.4,4956.25,4974.75,55169,275080881.2,30-11-2022,9382,INE288A01013,"8.016032064120966e-05
"
IIFL,NF,1002.15,1002.5,1001.7,1002.23,1001.8,1002.12,932,933972.4,21-11-2022,29,INE530B08102,"7.982836900667657e-05
"
NHPC,N5,1297.98,1297.99,1297.98,1297.99,1297.99,1297.97,50,64899.37,28-11-2022,2,INE848E07559,"7.70427895652545e-06
"
RAMCOCEM,EQ,658,661.6,654.1,658.05,658,656.75,761250,500774480.4,28-11-2022,14223,INE331A01037,"7.598784194521964e-05
"
GLAXO,EQ,1328.95,1330.1,1321.05,1329.05,1330.1,1329.25,21901,29043197.7,29-11-2022,3425,INE159A01016,"7.524737574770235e-05
"
KOTAKPSUBK,EQ,398.98,401.35,394.05,399.01,400,395.09,147146,58780148.53,23-11-2022,3854,INF373I01023,"7.519173893421403e-05
"
NHPC,N6,1359.99,1360,1359.99,1360,1360,1355.02,158,214879,23-11-2022,7,INE848E07567,"7.352995242605391e-06
"
EBBETF0431,EQ,1095.96,1096.88,1092.26,1096.04,1096.49,1095.08,5762,6313068.05,21-11-2022,101,INF754K01LE1,"7.299536479426918e-05
"
BHAGCHEM,EQ,1401.25,1409,1385,1401.35,1409,1400.1,1710,2387462.5,28-11-2022,137,INE414D01019,"7.136485280992617e-05
"
LGBBROSLTD,EQ,704.35,708.95,701.5,704.4,705,704.35,17989,12690528.7,28-11-2022,1606,INE337A01034,"7.09874352239008e-05
"
INGERRAND,EQ,2127.95,2148.6,2123,2128.1,2126.6,2144.55,13138,28060113.85,05-12-2022,2313,INE177A01018,"7.04903780634371e-05
"
ERIS,EQ,709.5,713.9,705,709.55,705.5,705.95,17768,12618070.9,15-11-2022,3434,INE406M01024,"7.047216349535522e-05
"
ECLFINANCE,NO,995.1,995.2,995.1,995.17,995.11,995.1,120,119419.76,09-11-2022,6,INE804I077Z7,"7.034468897591834e-05
"
EHFLNCD,N6,1010.01,1010.1,1010,1010.08,1010,1007.01,122,123225.73,29-11-2022,5,INE530L07228,"6.930624449267832e-05
"
NABARD,N2,1192.75,1193,1192,1192.83,1193,1194.52,3920,4675711,02-12-2022,41,INE261F07032,"6.70718926849107e-05
"
TATAMETALI,EQ,745.9,749.8,741,745.95,746,743.75,26241,19553766.3,18-11-2022,2050,INE056C01010,"6.703311435858455e-05
"
NH,EQ,752,764,748.6,752.05,757,755.4,888694,673483040,06-12-2022,6168,INE410P01011,"6.648936170206719e-05
"
HUDCO,N8,1209,1210,1208.99,1209.08,1210,1202,1700,2055399,15-11-2022,5,INE031A07AO5,"6.617038875097373e-05
"
OCCL,EQ,760,764,750,760.05,760,760.2,4801,3650694.65,25-11-2022,337,INE321D01016,"6.578947368415069e-05
"
ERFLNCDI,N5,917,917.9,917,917.06,917.9,910,145,132974,09-11-2022,3,INE528S07110,"6.543075245359371e-05
"
NHIT,N2,308.5,308.6,308.31,308.52,308.52,308.29,15702,4843451.28,05-12-2022,27,INE0H7R07025,"6.482982171793131e-05
"
ZYDUSWELL,EQ,1565.65,1573.5,1560,1565.75,1570,1565.65,22963,36014535.25,22-11-2022,2108,INE768C01010,"6.387123558899437e-05
"
DHANILOANS,N8,1409.9,1409.99,1409.9,1409.99,1409.99,1390.05,50,70497.25,14-11-2022,2,INE614X07092,"6.383431449033133e-05
"
L&TFINANCE,NU,1104,1104.5,1104,1104.07,1104,1104.93,138,152362.4,09-11-2022,7,INE027E07AL1,"6.340579710139161e-05
"
IVZINGOLD,EQ,4809.7,4810,4809.7,4810,4810,4771.3,2,9619.7,09-12-2022,2,INF205K01361,"6.237395263741646e-05
"
SGBMAR28X,GB,4919.96,4919.99,4919.8,4919.99,4919.99,4915,31,152516.01,23-11-2022,5,IN0020190552,"6.097610549627506e-06
"
GLAND,EQ,1734.95,1739.85,1710.2,1735.05,1735.95,1744.45,151006,261077033.1,17-11-2022,10089,INE068V01023,"5.763854866129228e-05
"
POLYPLEX,EQ,1785,1795,1775.25,1785.1,1787,1780.05,59447,106112847.1,02-12-2022,6260,INE633B01018,"5.6022408963534485e-05
"
ADANIPORTS,EQ,895,907.5,885,895.05,893.95,894.5,7653024,6883541359,14-11-2022,90012,INE742F01042,"5.586592178765869e-05
"
SGBNV29VII,GB,4900.01,4915,4890,4900.27,4900,4913.23,403,1975026.1,28-11-2022,82,IN0020210178,"5.306111620184821e-05
"
SETFNIF50,EQ,189.99,190.34,188.88,190,190.34,189.28,279480,52908879.5,15-11-2022,1710,INF200KA1FS1,"5.263434917622456e-05
"
AXISNIFTY,EQ,191.79,191.99,191.01,191.8,191.89,192.25,3327,637767.85,10-11-2022,153,INF846K01W98,"5.214036185421204e-05
"
IBULHSGFIN,NN,979.95,980,979.95,980,980,980,15,14699.5,28-11-2022,2,INE148I07KH3,"5.102301137808513e-05
"
LODHA,EQ,986.2,1013.95,981.6,986.25,986.95,984.4,701764,695351067.2,16-11-2022,19381,INE670K01029,"5.0699655242298235e-05
"
SGBN28VIII,GB,4950,4955,4915,4950.25,4950,4950,194,960152,05-12-2022,41,IN0020200286,"5.0505050505050505e-05
"
POWERMECH,EQ,1994,2013.6,1951.1,1994.1,1995,1925.6,68745,136148970.1,17-11-2022,6913,INE211R01019,"5.015045135401657e-05
"
IIHFL,N4,1002.95,1004,986,1003,1004,1002.5,353,353365.95,18-11-2022,15,INE477L08147,"4.9852933845111445e-05
"
